InstallSource,Browser,2013-12-23,2013-12-22,2013-12-21,2013-12-20,2013-12-19,2013-12-18,2013-12-17,2013-12-16,2013-12-15,2013-12-14,2013-12-13,2013-12-12,2013-12-11,2013-12-10,2013-12-09,2013-12-08,2013-12-07,2013-12-06,2013-12-05,2013-12-04,2013-12-03,2013-12-02,2013-12-01,2013-11-30,2013-11-29,2013-11-28,2013-11-27,2013-11-26,2013-11-25,2013-11-24
t4pcsuFR,Other,153,165,138,105,82,34,20,21,13,15,15,16,14,19,16,17,26,25,45,28,48,57,33,45,29,31,41,35,33,47
t4pcsuIN,Other,24,30,19,23,23,20,19,32,21,41,58,18,21,21,25,28,43,31,21,37,38,25,27,24,26,29,25,34,36,27
t4pcsuIT,Other,15,23,17,14,25,20,20,6,,,,,,,,,,,,,,,,,,,,,,
t4pcsuJP,Other,20,21,35,30,28,32,12,5,4,3,3,3,7,6,15,17,25,26,24,12,34,27,27,28,16,27,23,31,34,36
t4pcsuMX,Other,37,34,43,37,46,53,65,74,70,59,64,70,105,118,49,31,30,20,31,26,31,23,20,28,27,19,14,17,21,18
t4pcsuMY,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
t4pcsuNL,Other,7,10,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,
t4pcsuNO,Other,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
t4pcsuNZ,Other,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
t4pcsuofcourse,Other,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
t4pcsuPL,Other,234,199,128,95,73,89,52,142,183,127,87,71,181,222,185,220,343,79,84,98,56,38,50,49,50,24,23,27,30,33
t4pcsuPT,Other,42,44,46,38,29,47,80,35,28,27,26,15,29,54,17,20,17,19,14,12,10,12,18,20,13,14,14,18,18,13
t4pcsuSE,Other,8,7,6,7,2,3,2,,,,,,,,,,,,,,,,,,,,,,,
t4pcsuTR,Other,54,65,64,61,51,62,68,32,,,,,,,,,,,,,,,,,,,,,,
t4pcsuZA,Other,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
